Claim ID,Claim Type,Date Filed,Date Resolved,Total Days,Delay Category,Claim Value ($),Adjuster ID
NS-151,Home,2025-02-05,2025-02-24,19,Document Wait,33461,ADJ05
NS-152,Home,2025-07-05,2025-07-21,16,Other,31747,ADJ04
NS-153,Home,2025-05-27,2025-06-10,14,Rework Loop,40080,ADJ03
NS-154,Auto,2025-03-17,2025-04-07,21,Payment Processing,23074,ADJ05
NS-155,Auto,2025-03-19,2025-04-08,20,Other,10538,ADJ08
NS-156,Home,2025-05-09,2025-05-26,17,Payment Processing,30641,ADJ06
NS-157,Auto,2025-07-03,2025-07-19,16,Payment Processing,16106,ADJ07
NS-158,Auto,2025-03-28,2025-04-17,20,Payment Processing,26102,ADJ03
NS-159,Home,2025-01-15,2025-01-29,14,Senior Review,7377,ADJ08
NS-160,Auto,2025-05-20,2025-06-12,23,Document Wait,10247,ADJ07
NS-161,Auto,2025-01-25,2025-02-12,18,Rework Loop,22987,ADJ07
NS-162,Auto,2025-03-31,2025-04-22,22,Payment Processing,21552,ADJ08
NS-163,Home,2025-01-15,2025-02-03,19,Rework Loop,42163,ADJ05
NS-164,Auto,2025-01-29,2025-02-15,17,Document Wait,42333,ADJ02
NS-165,Home,2025-02-17,2025-03-09,20,Document Wait,3814,ADJ06
NS-166,Auto,2025-03-22,2025-04-08,17,Payment Processing,10340,ADJ04
NS-167,Home,2025-04-21,2025-05-10,19,Document Wait,11940,ADJ03
NS-168,Auto,2025-06-11,2025-07-03,22,Rework Loop,33415,ADJ03
NS-169,Auto,2025-05-04,2025-05-23,19,Other,17533,ADJ01
NS-170,Home,2025-03-20,2025-04-09,20,Document Wait,5640,ADJ08
NS-171,Auto,2025-06-05,2025-06-21,16,Payment Processing,17190,ADJ08
NS-172,Auto,2025-02-25,2025-03-26,29,Other,7789,ADJ04
NS-173,Home,2025-06-01,2025-06-18,17,Rework Loop,20148,ADJ01
NS-174,Home,2025-03-17,2025-03-27,10,Document Wait,40541,ADJ08
NS-175,Auto,2025-03-05,2025-03-24,19,Senior Review,15152,ADJ04
NS-176,Home,2025-03-11,2025-03-31,20,Document Wait,41972,ADJ02
NS-177,Auto,2025-03-26,2025-04-16,21,Document Wait,38782,ADJ06
NS-178,Auto,2025-01-29,2025-02-21,23,Senior Review,28030,ADJ03
NS-179,Auto,2025-02-08,2025-03-01,21,Senior Review,35589,ADJ05
NS-180,Auto,2025-03-12,2025-04-04,23,Other,20142,ADJ06
NS-181,Auto,2025-05-05,2025-05-29,24,Document Wait,15585,ADJ07
NS-182,Home,2025-04-09,2025-04-22,13,Payment Processing,1712,ADJ05
NS-183,Home,2025-02-06,2025-02-24,18,Rework Loop,39109,ADJ07
NS-184,Auto,2025-02-02,2025-02-22,20,Other,2440,ADJ06
NS-185,Home,2025-03-03,2025-03-22,19,Other,20604,ADJ07
NS-186,Auto,2025-02-10,2025-02-22,12,Document Wait,20746,ADJ08
NS-187,Auto,2025-01-30,2025-02-14,15,Document Wait,26270,ADJ08
NS-188,Auto,2025-06-26,2025-07-20,24,Payment Processing,39291,ADJ03
NS-189,Home,2025-06-22,2025-07-05,13,Other,41147,ADJ07
NS-190,Auto,2025-01-14,2025-02-03,20,Rework Loop,29857,ADJ08
NS-191,Auto,2025-04-08,2025-04-22,14,Senior Review,36482,ADJ06
NS-192,Auto,2025-04-17,2025-05-03,16,Document Wait,30600,ADJ02
NS-193,Auto,2025-06-19,2025-07-08,19,Document Wait,4114,ADJ06
NS-194,Auto,2025-02-07,2025-02-28,21,Rework Loop,5296,ADJ04
NS-195,Home,2025-03-02,2025-03-23,21,Rework Loop,22332,ADJ03
NS-196,Home,2025-01-06,2025-01-22,16,Document Wait,9319,ADJ05
NS-197,Auto,2025-02-03,2025-02-22,19,Document Wait,9437,ADJ01
NS-198,Auto,2025-03-07,2025-03-26,19,Document Wait,12219,ADJ05
NS-199,Auto,2025-02-07,2025-02-27,20,Document Wait,4965,ADJ08
NS-200,Home,2025-04-08,2025-04-26,18,Document Wait,30422,ADJ04
NS-201,Home,2025-01-17,2025-02-06,20,Rework Loop,30818,ADJ01
NS-202,Auto,2025-05-08,2025-05-30,22,Payment Processing,7875,ADJ08
NS-203,Home,2025-01-24,2025-02-15,22,Senior Review,40665,ADJ03
NS-204,Auto,2025-02-07,2025-02-23,16,Senior Review,25762,ADJ05
NS-205,Home,2025-05-15,2025-06-03,19,Document Wait,8298,ADJ04
NS-206,Home,2025-05-01,2025-05-23,22,Payment Processing,23012,ADJ08
NS-207,Home,2025-04-22,2025-05-12,20,Senior Review,28768,ADJ06
NS-208,Auto,2025-04-11,2025-05-05,24,Other,5199,ADJ02
NS-209,Auto,2025-01-29,2025-02-15,17,Senior Review,9327,ADJ01
NS-210,Home,2025-05-29,2025-06-17,19,Document Wait,27722,ADJ06
NS-211,Home,2025-01-19,2025-02-13,25,Rework Loop,23845,ADJ02
NS-212,Home,2025-05-15,2025-05-30,15,Other,15496,ADJ02
NS-213,Auto,2025-05-28,2025-06-14,17,Rework Loop,38424,ADJ04
NS-214,Home,2025-05-29,2025-06-23,25,Document Wait,40711,ADJ05
NS-215,Auto,2025-02-21,2025-03-09,16,Rework Loop,23070,ADJ06
NS-216,Auto,2025-02-21,2025-03-15,22,Payment Processing,5360,ADJ03
NS-217,Auto,2025-01-29,2025-02-18,20,Rework Loop,25454,ADJ07
NS-218,Home,2025-04-03,2025-04-17,14,Rework Loop,22058,ADJ02
NS-219,Auto,2025-02-14,2025-02-28,14,Document Wait,44969,ADJ02
NS-220,Auto,2025-04-29,2025-05-18,19,Other,40585,ADJ08
NS-221,Home,2025-03-16,2025-03-31,15,Document Wait,23421,ADJ07
NS-222,Auto,2025-03-19,2025-04-08,20,Other,35333,ADJ05
NS-223,Auto,2025-03-03,2025-03-20,17,Document Wait,1303,ADJ04
NS-224,Auto,2025-03-01,2025-03-22,21,Rework Loop,19769,ADJ06
NS-225,Auto,2025-01-07,2025-01-25,18,Payment Processing,12314,ADJ03
NS-226,Home,2025-05-22,2025-06-11,20,Senior Review,5523,ADJ07
NS-227,Auto,2025-04-27,2025-05-08,11,Document Wait,21316,ADJ07
NS-228,Home,2025-04-19,2025-05-09,20,Payment Processing,19773,ADJ02
NS-229,Home,2025-01-11,2025-02-04,24,Document Wait,41309,ADJ08
NS-230,Auto,2025-01-28,2025-02-14,17,Document Wait,16745,ADJ07
NS-231,Home,2025-04-18,2025-05-06,18,Payment Processing,21134,ADJ06
NS-232,Auto,2025-04-01,2025-04-22,21,Document Wait,34255,ADJ02
NS-233,Home,2025-05-16,2025-05-31,15,Senior Review,23809,ADJ03
NS-234,Auto,2025-02-01,2025-02-15,14,Rework Loop,12170,ADJ03
NS-235,Auto,2025-02-20,2025-03-16,24,Other,31205,ADJ08
NS-236,Home,2025-06-19,2025-07-08,19,Senior Review,41905,ADJ06
NS-237,Auto,2025-04-28,2025-05-11,13,Other,42178,ADJ05
NS-238,Auto,2025-06-06,2025-06-18,12,Document Wait,21142,ADJ08
NS-239,Home,2025-01-15,2025-01-27,12,Rework Loop,5828,ADJ02
NS-240,Home,2025-06-07,2025-06-25,18,Other,38832,ADJ01
NS-241,Home,2025-06-01,2025-06-20,19,Senior Review,40449,ADJ08
NS-242,Home,2025-02-13,2025-03-09,24,Other,7583,ADJ06
NS-243,Auto,2025-05-15,2025-06-03,19,Document Wait,17036,ADJ08
NS-244,Home,2025-05-20,2025-06-07,18,Document Wait,24648,ADJ06
NS-245,Auto,2025-04-15,2025-05-02,17,Senior Review,39983,ADJ01
NS-246,Auto,2025-01-22,2025-02-07,16,Payment Processing,19421,ADJ05
NS-247,Home,2025-02-13,2025-03-01,16,Document Wait,23725,ADJ05
NS-248,Home,2025-02-08,2025-02-27,19,Document Wait,21088,ADJ07
NS-249,Auto,2025-02-07,2025-02-27,20,Document Wait,43137,ADJ07
NS-250,Home,2025-04-08,2025-04-19,11,Rework Loop,12613,ADJ04
NS-251,Auto,2025-05-10,2025-05-25,15,Document Wait,10954,ADJ02
NS-252,Auto,2025-01-31,2025-02-18,18,Document Wait,44180,ADJ06
NS-253,Home,2025-02-08,2025-02-27,19,Document Wait,11433,ADJ03
NS-254,Home,2025-02-17,2025-03-09,20,Document Wait,27726,ADJ06
NS-255,Auto,2025-04-29,2025-05-18,19,Other,16135,ADJ04
NS-256,Auto,2025-05-06,2025-05-29,23,Rework Loop,24906,ADJ08
NS-257,Home,2025-03-19,2025-04-09,21,Payment Processing,11420,ADJ04
NS-258,Home,2025-02-10,2025-03-04,22,Document Wait,42820,ADJ08
NS-259,Auto,2025-05-27,2025-06-19,23,Document Wait,19481,ADJ02
NS-260,Auto,2025-03-16,2025-04-03,18,Document Wait,29470,ADJ02
NS-261,Auto,2025-05-01,2025-05-23,22,Document Wait,27990,ADJ01
NS-262,Home,2025-05-14,2025-05-31,17,Payment Processing,6148,ADJ06
NS-263,Auto,2025-01-13,2025-01-29,16,Document Wait,43395,ADJ06
NS-264,Auto,2025-02-10,2025-02-22,12,Other,9895,ADJ08
NS-265,Home,2025-06-12,2025-06-21,9,Document Wait,2045,ADJ05
NS-266,Auto,2025-02-13,2025-03-03,18,Payment Processing,8086,ADJ05
NS-267,Auto,2025-03-24,2025-04-07,14,Rework Loop,28313,ADJ08
NS-268,Auto,2025-02-03,2025-02-24,21,Other,39907,ADJ01
NS-269,Home,2025-06-02,2025-06-18,16,Document Wait,19888,ADJ07
NS-270,Auto,2025-06-12,2025-06-29,17,Payment Processing,13075,ADJ02
NS-271,Home,2025-04-08,2025-04-21,13,Document Wait,26388,ADJ08
NS-272,Auto,2025-06-17,2025-07-04,17,Senior Review,17423,ADJ01
NS-273,Auto,2025-01-23,2025-02-09,17,Document Wait,38935,ADJ06
NS-274,Auto,2025-01-17,2025-02-03,17,Senior Review,42926,ADJ03
NS-275,Home,2025-07-03,2025-07-21,18,Document Wait,9637,ADJ02
NS-276,Home,2025-01-15,2025-01-31,16,Document Wait,13872,ADJ01
NS-277,Auto,2025-03-26,2025-04-13,18,Other,17401,ADJ01
NS-278,Auto,2025-03-20,2025-04-06,17,Document Wait,43774,ADJ06
NS-279,Auto,2025-02-06,2025-02-27,21,Payment Processing,27015,ADJ08
NS-280,Home,2025-04-02,2025-04-27,25,Other,33405,ADJ06
NS-281,Home,2025-03-15,2025-04-05,21,Payment Processing,5972,ADJ07
NS-282,Home,2025-02-21,2025-03-11,18,Senior Review,7523,ADJ02
NS-283,Auto,2025-06-24,2025-07-10,16,Other,40293,ADJ07
NS-284,Auto,2025-07-01,2025-07-19,18,Other,3575,ADJ06
NS-285,Home,2025-04-27,2025-05-13,16,Document Wait,5717,ADJ07
NS-286,Auto,2025-05-17,2025-06-07,21,Document Wait,2840,ADJ03
NS-287,Home,2025-06-28,2025-07-19,21,Document Wait,9072,ADJ02
NS-288,Auto,2025-06-20,2025-07-07,17,Payment Processing,37974,ADJ01
NS-289,Home,2025-02-14,2025-03-06,20,Senior Review,25180,ADJ08
NS-290,Auto,2025-06-01,2025-06-15,14,Senior Review,26885,ADJ06
NS-291,Auto,2025-03-10,2025-04-03,24,Document Wait,12992,ADJ08
NS-292,Home,2025-04-15,2025-05-08,23,Document Wait,17955,ADJ05
NS-293,Home,2025-03-01,2025-03-28,27,Rework Loop,32991,ADJ04
NS-294,Auto,2025-02-09,2025-03-03,22,Other,12115,ADJ08
NS-295,Auto,2025-06-29,2025-07-23,24,Senior Review,44567,ADJ06
NS-296,Auto,2025-05-26,2025-06-13,18,Rework Loop,11122,ADJ03
NS-297,Auto,2025-05-16,2025-05-31,15,Rework Loop,9901,ADJ04
NS-298,Home,2025-01-12,2025-01-29,17,Senior Review,31431,ADJ03
NS-299,Home,2025-01-28,2025-02-10,13,Payment Processing,32169,ADJ07
NS-300,Home,2025-06-02,2025-06-15,13,Senior Review,42896,ADJ02
